Status,Handle,ID,Name,Followers,Tweets,Date Created,Date Active,Image
Suspended,@SJAntifafags,848007713024073728,Fuck Antifa,3,4,2017-03-31,2017-03-31,https://pbs.twimg.com/profile_images/848009671134916613/yPbs0ON5_normal.jpg
Suspended,@smashfashnbths,902388129784635392,NBTHS Antifa,2,30,2017-08-28,2017-08-28,https://pbs.twimg.com/profile_images/902391743726972930/9TDV4E8B_normal.jpg
Suspended,@SmashfashSI,899381845514694656,Staten Island Antifa,72,107,2017-08-20,2017-08-20,https://pbs.twimg.com/profile_images/899382678247669763/UHkU0mF3_normal.jpg
Suspended,@SoldiersofBragg,897941021555924992,Soldiers of Bragg,117,2094,2017-08-16,2017-08-16,https://pbs.twimg.com/profile_images/929540154523635713/NAgKeFwA_normal.jpg
Suspended,@sydney_antifa,1050588204057866242,Antifa Sydney,236,0,2018-10-11,2018-10-11,https://pbs.twimg.com/profile_images/1050589782923833345/yAAWm7Fq_normal.jpg
Suspended,@Tempe_Antifa,900808158381309952,Tempe Antifa 🏴,13,47,2017-08-24,2017-08-24,https://pbs.twimg.com/profile_images/900813583726112768/zoXY5BI5_normal.jpg
Suspended,@texas_antifa,868677082829778944,Antifa Texas,38,8,2017-05-27,2017-05-27,https://pbs.twimg.com/profile_images/868678151903232001/JRUBIi9N_normal.jpg
Suspended,@TexasAntifa,847888633113784320,Central Texas Antifa,119,57,2017-03-31,2017-03-31,https://pbs.twimg.com/profile_images/847889411178192896/Lxg-pHzZ_normal.jpg
Suspended,@thought_policee,899266214760939521,🇬🇧,2,8,2017-08-20,2017-08-20,https://pbs.twimg.com/profile_images/903534275596836864/Wqy297-V_normal.jpg
Suspended,@tx_antifa,1351859354824187904,Tx Antifa,0,3,2021-01-20,2021-01-20,https://pbs.twimg.com/profile_images/1352859421311864832/Im9x44-c_normal.jpg
Suspended,@UKAntifa,859129913063952385,UKAntifa,21,9,2017-05-01,2017-05-01,https://pbs.twimg.com/profile_images/859135265046224896/3KOl5IjQ_normal.jpg
Suspended,@VacBloc,1015995727212769280,VacBloc,195,4310,2018-07-08,2018-07-08,https://pbs.twimg.com/profile_images/1016196619098701825/Jd23h0AD_normal.jpg
Suspended,@WeOwnYou4Ever,1056368950190202880,IlluminatiSpokesman,41,147,2018-10-27,2018-10-27,https://pbs.twimg.com/profile_images/1125123180325212163/2JcbAhTK_normal.jpg
Suspended,@WestTxAntifa,863448696238874624,West Texas Antifa,26,1,2017-05-13,2017-05-13,https://pbs.twimg.com/profile_images/863449792994791424/81QyKDFu_normal.jpg
Suspended,@WFBaptistAntifa,904607004013895680,WstboroBaptistAntifa,4,194,2017-09-04,2017-09-04,https://pbs.twimg.com/profile_images/904614418025111553/50SIzt-i_normal.jpg
Suspended,@WorcesterAntifa,911596648270360576,WorcesterAntifa,7,24,2017-09-23,2017-09-23,https://pbs.twimg.com/profile_images/966111373603344385/Tz_s-7Gr_normal.jpg
Suspended,@worldwideantifa,913475001269047299,Worldwideantifa,14,6,2017-09-28,2017-09-28,https://pbs.twimg.com/profile_images/913476378460348418/AmDPlH7I_normal.jpg
Suspended,@zeroinonantifa,4805367912,Unite Against ANTIFA,44,272,2016-01-23,2016-01-23,https://pbs.twimg.com/profile_images/693196196228108288/wU-ZkCGZ_normal.png
